N,Тип,Источник,Содержание сообщения,Оригинал сообщения,Дата,
1,Комментарий к посту/репосту,Группа,"Действительно,кто эту провозгласил примадонной? Последнее время тупо хрипела на сцене.Сколько живу,столько её и слышала.",0,11.05.2022 11:33:25,
2,Комментарий к посту/репосту,Группа,"Схем много,спасибо,но по всем связать пенсии не хватит.А котейки на фото обалденные,у нас такой же,но вещи носить не любит,поэтому сидит дома до тепла на улице.Ещё раз большое спасибо за схемы!",0,10.05.2022 19:13:27,
3,Комментарий к посту/репосту,Пользователь,"И найдутся же дураки,кто это чмо купит.",0,10.05.2022 19:01:50,
4,Комментарий к посту/репосту,Группа,"Из бисера делаю эти подснежники,а хотелось бы живыми дома посадить, но не могу найти. А у нас в дикой природе они не растут",0,10.05.2022 18:53:50,
5,Комментарий к посту/репосту,Группа,"Да пристрелить уже этого педика ,из ума выжил совсем ,урод ,а не человек.",0,10.05.2022 18:21:55,
6,Комментарий к посту/репосту,Группа,"Как это чел стал вести программу,я перестала смотреть. Очень хочется высказаться,но боюсь,что меня потом забанят ,или как там пишется.",0,10.05.2022 17:54:39,
7,Комментарий к посту/репосту,Группа,"Я не спец,я простая пенсионерам,но чёрт возми,хватит с этими ушлепками нянькаться,дипломатия,какая к черту дипломатия ,забейти на этих уродов и пусть живут как хотят.Пройдёт время на брюхе приползут.Мой муж все сорок лет нашей совместной жизни говорит,как ты выскажишся,так чёрт возми и получается.Забейти на этих уродов,перекройте все ,что от России зависит,приползут и пятки лизать будут.Пора этих зажравшихся тварей на место ставить.Доброду эти уроды не понимают.",0,10.05.2022 16:55:11,
8,Комментарий к посту/репосту,Группа,"Тоже слышала,что он деспот.Жене даже помадой не разрешает пользоваться.Если это правда,то нахрен такой мужик нужен.Утверждается сволочь за счёт семьи.",0,08.05.2022 18:23:19,
9,Комментарий к посту/репосту,Группа,"А не думаете сученыши,что после такой выходки вас в лучшем случае побьют,в худшем-разорвут.Я склоняюсь к последнему.Твари нацистские спрячтесь под половичек и не отсвечивайте,если хотите жить.Достали уже .",0,08.05.2022 18:15:35,
10,Комментарий к посту/репосту,Группа,"Прости господи,что не урод,на первых страницах,а про людей которые своим трудом помагают процветать своей стране и людям,ни слова.Даже дворник приносит больше пользы,чем это чмо.",0,08.05.2022 18:10:32,
11,Комментарий к посту/репосту,Группа,"Да в гробу я видела таких будущих россиян,они нас ненавидят.",0,08.05.2022 10:42:19,
12,Комментарий к посту/репосту,Группа,"Слово не воробей,вылетело не поймаешь.Таким как он нет веры.Ради бабла все и всех предаст.",0,08.05.2022 09:55:10,
13,Комментарий к посту/репосту,Группа,"Что-то много её везде стало,начала надоедать.",0,08.05.2022 09:35:03,
14,Комментарий к посту/репосту,Группа,"Может я отстала от жизни,эту вообще не знаю.",0,08.05.2022 09:27:19,
15,Комментарий к посту/репосту,Группа,"Как говорят,если в голове мозга нет,из жопы не возмешь.Все были молодыми,много было искушений,но мозг нужно включать вовремя.Сами виноваты.",0,07.05.2022 19:11:59,
16,Комментарий к посту/репосту,Группа,"Дай бог или дьявол,что бы с вами так поступили,уроды вы конечные а не люди,гореть вам в аду.",0,07.05.2022 19:05:04,
17,Комментарий к посту/репосту,Группа,Долбите ребята этих нациков обдолбаных.Что бы их геном изчез из природы.Другим людям спокойной будет жить.Ещё бы и америкосов какая-нибудь волна накрыла вместе с белым домом и Пентагоном.,0,07.05.2022 18:59:53,
18,Комментарий к посту/репосту,Группа,Какой интересный!Первый раз такой вижу.Вот бы попробовать такое чудо.,0,07.05.2022 18:55:39,
19,Комментарий к посту/репосту,Группа,"А у меня вопрос,а дети и внуки помогают жрать,то что вы выростили и приготовили?",0,07.05.2022 18:43:52,
20,Комментарий к посту/репосту,Группа,"А в наших садиках специальные чипы,по которым родители могут открыть двери и зайти.Чужой не пройдёт.А таких уродов на месте расстреливать.",0,07.05.2022 18:38:11,
21,Комментарий к посту/репосту,Группа,"Милая,я бы на твоём месте,прежде чем выйти из автобуса,въехала бы в табло этому кондуктору.Вообще беспредел какой-то.",0,07.05.2022 18:35:05,
22,Комментарий к посту/репосту,Группа,"Как уже достали с этими.Что нет более достойных людей, про который можно написать?",0,04.05.2022 08:50:49,
23,Комментарий к посту/репосту,Группа,"Дай мозги нашем чинушам,что бы обратно этих тварей не пустили,уехали и флаг им в руки.",0,02.05.2022 14:10:25,
24,Комментарий к посту/репосту,Группа,"У нас в городе одни тц,заводы все уничтожены,в шахтах страшно работать,ни какой безопасности.",0,02.05.2022 14:06:22,
25,Комментарий к посту/репосту,Группа,"Кончился у этой старой мадам авторитет,когда смылась из России.Она,что думает,если вернётся в Россию,её встретят с распростёртыми объятиями? Не уверена.",0,02.05.2022 14:00:16,
26,Комментарий к посту/репосту,Группа,Скакого перепуга он лучший?о,0,02.05.2022 13:49:10,
27,Комментарий к посту/репосту,Группа,А что эта безгрудая самка не приехала в Донбасс или в Луганск? Пиарится тварь на войне.,0,02.05.2022 13:38:07,
28,Комментарий к посту/репосту,Группа,"Немцы,вы нам нафиг не нужны,если не будите дальше вякать в нашу сторону.А те,кто к вам свалил,лично для меня уже не друзья,есть такие.Вы приняли этих хохляндских ушлепков,вот и живите с этими уродами,вы их такими сделали с вашим НАТО.",0,02.05.2022 13:33:26,
