,X,pred
0,"действительно,кто эту провозгласил примадонной? последнее время тупо хрипела на сцене.сколько живу,столько её и слышала.",0
1,"схем много,спасибо,но по всем связать пенсии не хватит.а котейки на фото обалденные,у нас такой же,но вещи носить не любит,поэтому сидит дома до тепла на улице.ещё раз большое спасибо за схемы!",0
2,"и найдутся же дураки,кто это чмо купит.",0
3,"из бисера делаю эти подснежники,а хотелось бы живыми дома посадить, но не могу найти. а у нас в дикой природе они не растут",0
4,"да пристрелить уже этого педика ,из ума выжил совсем ,урод ,а не человек.",0
5,"как это чел стал вести программу,я перестала смотреть. очень хочется высказаться,но боюсь,что меня потом забанят ,или как там пишется.",0
6,"я не спец,я простая пенсионерам,но чёрт возми,хватит с этими ушлепками нянькаться,дипломатия,какая к черту дипломатия ,забейти на этих уродов и пусть живут как хотят.пройдёт время на брюхе приползут.мой муж все сорок лет нашей совместной жизни говорит,как ты выскажишся,так чёрт возми и получается.забейти на этих уродов,перекройте все ,что от россии зависит,приползут и пятки лизать будут.пора этих зажравшихся тварей на место ставить.доброду эти уроды не понимают.",0
7,"тоже слышала,что он деспот.жене даже помадой не разрешает пользоваться.если это правда,то нахрен такой мужик нужен.утверждается сволочь за счёт семьи.",0
8,"а не думаете сученыши,что после такой выходки вас в лучшем случае побьют,в худшем-разорвут.я склоняюсь к последнему.твари нацистские спрячтесь под половичек и не отсвечивайте,если хотите жить.достали уже .",0
9,"прости господи,что не урод,на первых страницах,а про людей которые своим трудом помагают процветать своей стране и людям,ни слова.даже дворник приносит больше пользы,чем это чмо.",0
10,"да в гробу я видела таких будущих россиян,они нас ненавидят.",0
11,"слово не воробей,вылетело не поймаешь.таким как он нет веры.ради бабла все и всех предаст.",0
12,"что-то много её везде стало,начала надоедать.",0
13,"может я отстала от жизни,эту вообще не знаю.",0
14,"как говорят,если в голове мозга нет,из жопы не возмешь.все были молодыми,много было искушений,но мозг нужно включать вовремя.сами виноваты.",0
15,"дай бог или дьявол,что бы с вами так поступили,уроды вы конечные а не люди,гореть вам в аду.",0
16,долбите ребята этих нациков обдолбаных.что бы их геном изчез из природы.другим людям спокойной будет жить.ещё бы и америкосов какая-нибудь волна накрыла вместе с белым домом и пентагоном.,0
17,какой интересный!первый раз такой вижу.вот бы попробовать такое чудо.,0
18,"а у меня вопрос,а дети и внуки помогают жрать,то что вы выростили и приготовили?",0
19,"а в наших садиках специальные чипы,по которым родители могут открыть двери и зайти.чужой не пройдёт.а таких уродов на месте расстреливать.",0
20,"милая,я бы на твоём месте,прежде чем выйти из автобуса,въехала бы в табло этому кондуктору.вообще беспредел какой-то.",0
21,"как уже достали с этими.что нет более достойных людей, про который можно написать?",0
22,"дай мозги нашем чинушам,что бы обратно этих тварей не пустили,уехали и флаг им в руки.",0
23,"у нас в городе одни тц,заводы все уничтожены,в шахтах страшно работать,ни какой безопасности.",0
24,"кончился у этой старой мадам авторитет,когда смылась из россии.она,что думает,если вернётся в россию,её встретят с распростёртыми объятиями? не уверена.",5
25,скакого перепуга он лучший?о,0
26,а что эта безгрудая самка не приехала в донбасс или в луганск? пиарится тварь на войне.,0
27,"немцы,вы нам нафиг не нужны,если не будите дальше вякать в нашу сторону.а те,кто к вам свалил,лично для меня уже не друзья,есть такие.вы приняли этих хохляндских ушлепков,вот и живите с этими уродами,вы их такими сделали с вашим нато.",0
28,"филя ,утухни ты уже ,королёк некоронованый.наплодили себе детей пробирочных и вякаете на всех.мы то без вас проживем,а вот вы без нас,ещё вопрос.и если честно вы уже походу всех задолбали,шуты.",0
29,поставьте эту блядину и программу никто смотреть не будет.,0
